"from","to"
"Pixelplant Debug: No POST data specified","Pixelplant Debug: No POST data specified"
"Debug output","Debug output"
"Enter a module identifier name or identifier + path to see what classes it maps to.","Enter a module identifier name or identifier + path to see what classes it maps to."
"Eg: &laquo;core&raquo; or &laquo;core/website&raquo; for the ZeroG_Core extension","Eg: &laquo;core&raquo; or &laquo;core/website&raquo; for the ZeroG_Core extension"
"Resolve reference to","Resolve reference to"
"Submit","Submit"
"utils","Interogate"
"request","GET/POST parameters"
"profiler","Profiler"
"model","Loaded models"
"block","Loaded blocks"
"count","Number of instances"
"name","Name"
"class","Class"
"router","Router"
"controller","Controller"
"action","Action"
"module","Module"
"template","Template"
