"from","to"
"Pixelplant Debug: No POST data specified", "Pixelplant Debug: Aucun parametre POST reçu"
"Debug output","Infos debug"
"Enter a module identifier name or identifier + path to see what classes it maps to.","Introduisez une identifiant de module ou module+location pour voir les classes utilises."
"Eg: &laquo;core&raquo; or &laquo;core/website&raquo; for the ZeroG_Core extension","Eg: &laquo;core&raquo; ou &laquo;core/website&raquo; qui utilise l'extension ZeroG_Core"
"Resolve reference to","Rezolvă referințele spre"
"Submit", "Envoyer"
"utils", "Utiles"
"request","Paramètres GET/POST"
"profiler","Profiler"
"model","Modeles chargés"
"block","Blocs chargés"
"count","Nombre d'instances"
"name","Nom"
"class","Classe"
"router","Routeur"
"controller","Controleur"
"action","Action"
"module","Module"
"template","Template"
