"from","to"
"Orders","Commandes"
"Sales","Ventes"
"Shipments","Expeditions"
"Invoices","Factures"
"Transactions","Transactions"
"General sales terms","Terms et conditions de vente"
"Taxes","Taxes"
"Credit memos","Credit memo"
"Tax rules","Regles de taxation"
"Client taxes","Taxes client"
"Products taxes","Taxes produits"
"Catalog","Catalogue"
"Edit products","Gerer les produits"
"Edit categories","Editare categorii"
"Search terms","Terms de recherche"
"Promotions","Promotions"
"Catalog price rules","Regle de prix par produit"
"Catalog cart rules","Regle de prix par caddie"
"Reward points","Points de fidelite"
"Reward rules","Regle de fidelite"
