"from","to"
"From","De"
"To","à"
"Yes","Oui"
"No","Non"
"Any","Tous"
"View","Afficher"
"Created at","Date de creation"
"Last modified","Derniere modification"
"All","Tous"
"Page","Page"
"Previous page","Page precedente"
"Next page","Page suivante"
"Go to previous page","Aller au page precedente"
"per page","par page"
"of %s pages","sur %s page(s)"
"Total %d records found","%d élément(s) trouvé(s)"
"Select visible","Sélectionner les éléments visibles"
"Unselect visible","Désélectionner les éléments visibles"
"Reset filters","Réinitialiser le filtre"
"Search","Chercher"
"System","System"
"Design","Design"
"Tools","Parametres"
"Cache management","Administration cache"
"Manage sites","Administration site"
"Configuration","Configuration"
"Compilation","Compilation"
"Email templates","Templates pour emails"
"Actions","Actions"
"Submit","Envoyer"
"Export to:","Exporter vers:"
"items selected","éléments cochés"
"Template id","Id"
"New email template","Ajouter un template email"
"Template subject","Sujet email"
"Sender email","Email expediteur"
"Sender name","Nom expediteur"
"Edit","Editer"
