"from","to"
"Created at","Data creării"
"Last modified","Ultima modificare"
"Post id","Id postare"
"Overall post","Text postare"
"First option","Prima opțiune"
"Published","Publicat"
"Title","Titlu"
"Post content","Conţinut postare"
"Site view","Vedere site"
"Total %d records found","%d elemente găsite"
"New blog post","Adaugă postare nouă"
"Blog posts","Listă postări blog"
"New category","Adaugă categorie nouă"
"Blog categories","Listă categorii blog"
"Category id","Id categorie"
"Actions","Acţiuni"
"Edit","Editează"
"Delete","Şterge"
"Informations","Informaţii postare"
"Advanced options","Opţiuni avansate"
"Enable comments","Permite adăugarea de comentarii"
"Enabled","Activat"
"Disabled","Dezactivat"
"Not published","Nepublicat"
"Post state","Stare postare"
"Blog","Blog"
"All Posts","Toate postările"
"Add new post","Adaugă postare nouă"
"Comments","Comentarii"
"Comments state","Permite comentarii"
"Categories","Categorii"
"Attributes","Atribute"
"Blog settings","Setări blog"
"Activation settings","Setări activate"
"Disabling will close the post to new comments","Dacă e dezactivat, comentarii noi nu pot fi adăugate la acest articol"
"Only published posts appear in the frontend","Doar articolele publicate apar pe site"
"Post data","Informații articol"
"Metadata","Metainformații"
"Meta keywords","Cuvinte cheie meta"
"Meta description","Meta descriere"
"Edit blog category","Editare categorie blog"
