"from","to"
"Pixelplant Debug: No POST data specified", "Pixelplant Debug: Nu am primit nici un parametru POST"
"Debug output","Date debug"
"Enter a module identifier name or identifier + path to see what classes it maps to.","Introduceți un identificator de modul sau modul+cale pentru a vedea ce clase folosește."
"Eg: &laquo;core&raquo; or &laquo;core/website&raquo; for the ZeroG_Core extension","Ex: &laquo;core&raquo; sau &laquo;core/website&raquo; ce folosesc extensia ZeroG_Core"
"Resolve reference to","Rezolvă referințele spre"
"Submit", "Trimite"
"utils", "Utile"
"request","Parametrii GET/POST"
"profiler","Profiler"
"model","Modele încărcate"
"block","Blocuri încărcate"
"count","Număr de instanțieri"
"name","Nume"
"class","Clasă"
"router","Ruter"
"controller","Controler"
"action","Acțiune"
"module","Modul"
"template","Template"
"collection","Colecții încărcate"
