"from","to"
"Orders","Comenzi"
"Sales","Vânzări"
"Shipments","Expediții"
"Invoices","Facturi"
"Transactions","Tranzacții"
"General sales terms","Termeni și condiții de vânzare"
"Taxes","Taxe"
"Credit memos","Memo credite"
"Tax rules","Reguli taxare"
"Client taxes","Taxe client"
"Products taxes","Taxe produse"
"Catalog","Catalog"
"Edit products","Editare produse"
"Edit categories","Editare categorii"
"Search terms","Termeni de căutare"
"Promotions","Promoții"
"Catalog price rules","Reguli de preț per produs"
"Catalog cart rules","Reguli de preț pentru coșul de cumpărături"
"Reward points","Puncte de fidelitate"
"Reward rules","Reguli de fidelitate"
"Point rates","Puncte fidelizare"
"Spend rates","Reguli oferire"
"Earn rates","Reguli primire"
"Configuration","Configurare"
