"from","to"
"From","De la"
"To","La"
"All","Toate"
"Yes","Da"
"No","Nu"
"Any","Toate"
"Page","Pagina"
"Previous page","Pagina precedentă"
"Go to previous page","Mergi la pagina precedentă"
"View","Afișează"
"per page","pe pagină"
"of %s pages","din %s pagini"
"Total %d records found","Total %d înregistrări găsite"
"Select visible","Selectează elementele vizibile"
"Unselect visible","Deselectează elementele vizibile"
"Reset filters","Resetează filtrele"
"Search","Căutare"
"System","Sistem"
"Design","Design"
"Tools","Unelte"
"Cache management","Administrare cache"
"Manage sites","Administrare site-uri"
"Configuration","Configurație"
"Compilation","Compilare"
"Email templates","Template-uri email"
"Actions","Acțiuni"
"Submit","Trimite"
"Export to:","Exportă ca:"
"items selected","elemente selectate"
"Template id","Id template"
"New email template","Adaugă template email nou"
"Template subject","Subiect email"
"Sender email","Email expeditor"
"Sender name","Nume expeditor"
"Edit","Editează"
"Template data","Informații template"
"Template name","Nume template"
"Subject","Subiect"
"Template content","Conținut template"
"Informations","Informații"
"Edit email template","Editare template email"
